word,file,width,height,fps,duration_s
hello,27172.mp4,1920,1080,29.97,2.3
hello,27173.mp4,640,480,30.0,1.93
hello,27177.mp4,288,192,29.97,1.03
hello,27184.mp4,720,400,30.3,3.04
thank you,57655.mp4,1920,1080,29.97,2.5
thank you,57656.mp4,640,480,30.0,2.27
thank you,57657.mp4,640,480,30.0,2.2
thank you,57659.mp4,288,192,29.97,1.37
thank you,57667.mp4,720,400,30.36,2.54
thank you,66598.mp4,656,370,23.98,2.79
thank you,69502.mp4,1280,720,29.97,2.74
please,43217.mp4,736,414,29.97,2.6
please,43218.mp4,1920,1080,29.97,2.17
please,43219.mp4,640,480,30.0,2.67
please,43220.mp4,640,480,30.0,2.67
please,43222.mp4,288,192,29.97,1.5
please,43226.mp4,720,400,30.31,2.97
please,69434.mp4,1280,720,29.97,2.87
sorry,53365.mp4,320,240,25.0,4.72
sorry,53366.mp4,736,414,29.97,3.67
sorry,53367.mp4,640,480,30.0,2.67
sorry,53370.mp4,288,192,29.97,1.47
sorry,53371.mp4,288,192,29.97,1.7
sorry,53375.mp4,720,400,30.38,2.47
sorry,66536.mp4,656,370,23.98,2.46
goodbye,25044.mp4,1920,1080,29.97,1.8
goodbye,25049.mp4,288,192,29.97,2.04
goodbye,25051.mp4,288,192,29.97,1.87
goodbye,25052.mp4,288,192,29.97,2.47
goodbye,25055.mp4,720,400,30.34,2.74
yes,64280.mp4,320,240,29.97,2.1
yes,64281.mp4,736,414,29.97,2.37
yes,64283.mp4,1920,1080,23.98,0.92
yes,64284.mp4,1920,1080,29.97,1.87
yes,64287.mp4,640,480,30.0,2.27
yes,64288.mp4,640,480,29.99,1.8
yes,64291.mp4,288,192,29.97,1.87
yes,64292.mp4,288,192,29.97,1.6
yes,64293.mp4,288,192,29.97,1.8
yes,64300.mp4,720,400,30.31,2.97
yes,66820.mp4,656,370,23.98,1.96
yes,69546.mp4,1280,720,29.97,2.4
no,38524.mp4,320,240,29.97,2.67
no,38525.mp4,736,414,29.97,2.17
no,38527.mp4,1920,1080,29.97,1.53
no,38529.mp4,640,480,30.0,3.57
no,38530.mp4,640,480,30.0,1.77
no,38532.mp4,288,192,29.97,1.5
no,38533.mp4,288,192,29.97,1.8
no,38534.mp4,288,192,29.97,1.77
no,38544.mp4,720,400,30.34,2.74
no,66183.mp4,656,370,29.97,2.27
no,69411.mp4,1280,720,29.97,2.24
help,27206.mp4,736,414,29.97,2.37
help,27207.mp4,1920,1080,29.97,1.94
help,27208.mp4,640,480,30.0,2.27
help,27209.mp4,640,480,30.01,1.97
help,27213.mp4,288,192,29.97,1.67
help,27214.mp4,288,192,29.97,1.77
help,27215.mp4,288,192,29.97,1.0
help,27216.mp4,288,192,29.97,1.84
help,27217.mp4,288,192,29.97,2.14
help,27221.mp4,720,400,30.36,2.54
help,65889.mp4,656,370,23.98,2.59
help,65890.mp4,656,370,23.98,2.46
help,65891.mp4,656,370,23.98,2.46
help,69364.mp4,1920,1080,29.97,2.5
water,62499.mp4,320,180,24.0,5.08
water,62500.mp4,320,240,29.97,3.7
water,62501.mp4,736,414,29.97,2.2
water,62502.mp4,854,480,29.97,3.07
water,62503.mp4,640,480,30.0,2.77
water,62505.mp4,288,192,29.97,2.3
water,62506.mp4,288,192,29.97,1.67
water,62510.mp4,720,400,30.33,2.8
water,66752.mp4,656,370,23.98,2.04
food,22743.mp4,320,240,25.0,3.4
food,22744.mp4,736,414,29.97,2.14
food,22745.mp4,640,360,29.97,2.44
food,22746.mp4,640,480,30.0,2.7
food,22748.mp4,288,192,29.97,1.7
food,22750.mp4,720,400,30.33,2.77
food,69330.mp4,1280,720,29.97,2.7
doctor,17013.mp4,320,240,25.0,2.96
doctor,17014.mp4,736,414,29.97,2.94
doctor,17015.mp4,736,414,29.97,3.64
doctor,17016.mp4,854,480,29.97,3.5
doctor,17017.mp4,640,480,30.0,2.83
doctor,17018.mp4,640,480,29.97,2.14
doctor,17019.mp4,288,192,29.97,1.6
doctor,17020.mp4,288,192,29.97,1.84
doctor,17026.mp4,720,400,30.26,3.4
doctor,65503.mp4,656,370,23.98,2.0
doctor,65504.mp4,656,370,23.98,2.0
hospital,28033.mp4,320,240,25.0,2.76
hospital,28034.mp4,1280,720,29.97,2.87
hospital,28035.mp4,1920,1080,23.98,1.33
hospital,28036.mp4,854,480,29.97,3.54
hospital,28038.mp4,640,480,30.0,2.63
hospital,28041.mp4,288,192,29.97,1.84
hospital,28044.mp4,720,400,30.39,2.4
where,63081.mp4,320,240,29.97,3.77
where,63082.mp4,736,414,29.97,2.2
where,63083.mp4,854,480,29.97,2.4
where,63084.mp4,640,480,30.0,3.5
where,63087.mp4,288,192,29.97,1.57
where,63091.mp4,720,400,30.34,2.7
where,66774.mp4,656,370,23.98,2.25
